sentence,joy,anticipation,fear,surprise,anger,sadness,trust,disgust
I began making fish curry for my boyfriend and I.,0.981031596660614,0.7171834707260132,0.017991803586483,0.216352641582489,0.012454959563910961,0.027910100296139717,0.5612850189208984,0.020402612164616585
I decided not to read a recipe since I've made so many in my life.,0.4213174879550934,0.4839510917663574,0.11762536317110062,0.42469680309295654,0.0846000388264656,0.09890316426753998,0.12387637794017792,0.06318484991788864
Jervis has been single for a long time.,0.878108561038971,0.5176156163215637,0.06482859700918198,0.07444052398204803,0.02058064378798008,0.05131194368004799,0.4833835959434509,0.015689143911004066
The radio played song after song all night long as Ray slumbered.,0.5697956681251526,0.393155574798584,0.09437990188598633,0.15593039989471436,0.08023425191640854,0.1923685371875763,0.2129133939743042,0.06280534714460373
He was the best barista in the whole town.,0.9669408202171326,0.5847697854042053,0.02780628204345703,0.2075325846672058,0.010263956151902676,0.015550135634839535,0.568414032459259,0.010594144463539124
People would line up and wait hours for his creations.,0.31020036339759827,0.755848228931427,0.17812643945217133,0.3275236487388611,0.12041588872671127,0.14452388882637024,0.07977824658155441,0.121670663356781
Everyone wanted the Ferdinand touch.,0.7967702150344849,0.8158875107765198,0.045689329504966736,0.35722166299819946,0.02197759412229061,0.06620007008314133,0.2703842520713806,0.021143445745110512
Someone suggested a garage sale.,0.517309308052063,0.8975384831428528,0.13755302131175995,0.4010213017463684,0.028301285579800606,0.05284111574292183,0.20770785212516785,0.01933819241821766
Manuel was having a difficult time paying his rent.,0.012305984273552895,0.4761037826538086,0.5314903855323792,0.3217621445655823,0.53892582654953,0.8535051345825195,0.02629835717380047,0.4984550178050995
He then remembered that his friend was looking for a house.,0.3538442850112915,0.7963644862174988,0.2963223457336426,0.6564709544181824,0.04278865084052086,0.09483085572719574,0.16016481816768646,0.025449231266975403
His friend agreed and Manuel kept his house.,0.9346593618392944,0.5130028128623962,0.03291046619415283,0.1895592212677002,0.014494109898805618,0.03147018328309059,0.7072616815567017,0.012301325798034668
"Unfortunately, one swig of the drink makes her mouth itch and swell.",0.023317944258451462,0.2551371157169342,0.2793680727481842,0.5209888815879822,0.5299158096313477,0.679587721824646,0.029647191986441612,0.5045741200447083
Billy noticed he had trouble reading the chalkboard in class.,0.02390199713408947,0.41661450266838074,0.5396159887313843,0.319882869720459,0.24805304408073425,0.607281506061554,0.032633744180202484,0.34553834795951843
He moved towards the front and he could read it perfectly.,0.8562532067298889,0.7819713950157166,0.09233386069536209,0.3184817135334015,0.01815844140946865,0.04574095085263252,0.48103657364845276,0.018788417801260948
He then visited an eye doctor to ask about this.,0.0842755138874054,0.7205405831336975,0.7494912147521973,0.30071884393692017,0.15203042328357697,0.42816558480262756,0.21063078939914703,0.1697847992181778
John bought glasses and could see perfectly from then on.,0.9506109356880188,0.6269790530204773,0.02995491214096546,0.1953187733888626,0.010361970402300358,0.024222038686275482,0.5370985865592957,0.008846284821629524
Tom would gather them up and take them to recycle.,0.7727251052856445,0.782441258430481,0.06786604225635529,0.07156041264533997,0.025415435433387756,0.050071556121110916,0.34795069694519043,0.025317223742604256
He made a good amount of extra money that way.,0.9710490107536316,0.6422898769378662,0.026462437584996223,0.324079692363739,0.014545787125825882,0.0244655329734087,0.6307779550552368,0.014445251785218716
One day he had a hankering to play the old classic Nintendo.,0.30514782667160034,0.8281564116477966,0.1841101497411728,0.16964836418628693,0.06705327332019806,0.13865472376346588,0.10406067222356796,0.09550311416387558
Gina returned to her desk from the bathroom.,0.27006006240844727,0.6125900149345398,0.14690813422203064,0.25290223956108093,0.17806923389434814,0.1362944394350052,0.11700098216533661,0.08931434154510498
And she knew Rita had told Mary what she promised to keep secret.,0.27288150787353516,0.6195738911628723,0.4009002447128296,0.5501744747161865,0.09749355912208557,0.3145104646682739,0.25226521492004395,0.11132805049419403
We moved to Alabama.,0.7461786866188049,0.4945933520793915,0.08004675805568695,0.23847316205501556,0.026075109839439392,0.11484067887067795,0.43161940574645996,0.01685202121734619
The kid felt like he should reward the monkey for the entertainment.,0.9121686220169067,0.6460556983947754,0.06244353950023651,0.2583388686180115,0.01583322510123253,0.025968296453356743,0.5109936594963074,0.014584963209927082
He called the Dog Whisperer Cesar Millan to sort out their problems.,0.055616334080696106,0.7564427256584167,0.527566134929657,0.3452538549900055,0.22061394155025482,0.43631020188331604,0.10589992254972458,0.17295978963375092
He had Vincent assert his dominance.,0.18598106503486633,0.7220643758773804,0.5310624241828918,0.19058363139629364,0.29576194286346436,0.28428158164024353,0.1482246220111847,0.19889411330223083
Vincent asserted his dominance right into Caesar's butt.,0.32546764612197876,0.5656185150146484,0.3173709809780121,0.47567567229270935,0.2002412974834442,0.15069004893302917,0.13165311515331268,0.11893046647310257
