,sentence,joy,anticipation,fear,surprise,anger,sadness,trust,disgust
0,Her mother called her in.,1,0,0,0,0,0,0,0
1,He ended up delivering pizzas and had a blast.,1,0,0,0,0,0,0,0
2,"He obliged and now walks three to four dogs, twice a day.",1,1,0,0,0,0,1,0
3,She was sad not to see a single familiar face.,0,1,1,1,0,1,0,0
4,Rick rode a bus to the Opening Ceremonies with many dignitaries.,1,1,0,1,0,0,1,0
5,One day I decided to loosen the cap on the salt shaker Bill was using.,0,1,0,0,0,0,0,0
6,The long wait was worth it however as the day was beautiful.,1,0,0,0,0,0,0,0
7,Susie downloaded a new game on her phone.,1,1,0,0,0,0,0,0
8,His teacher gave out the test and he started filling out answers.,1,1,0,0,0,0,1,0
9,Jason passed out and the stripper took his three thousand dollars.,0,0,1,1,1,1,0,1
10,He decided to get it once the bus arrived to his stop.,0,1,0,0,0,0,1,0
11,He searched all day and night.,0,1,1,0,1,1,0,1
12,Heather gives her niece anything she asks for because of it.,0,0,0,1,1,0,0,0
13,As soon as she touched the floor her hand brushed a cobweb.,0,1,1,1,0,0,0,1
14,Everyone had an amazing time thanks to Carla's art.,1,0,0,0,0,0,0,0
15,John was a good English teacher.,1,0,0,0,0,0,1,0
16,He got a paper route on Fridays and Saturdays.,1,0,0,0,0,0,1,0
17,But their teacher caught them and gave them dirty looks.,0,1,1,0,0,0,0,0
18,Tom fried the machine and had to throw it away.,0,1,1,1,1,1,0,1
19,Tony was hungry and his stomach growled.,0,1,0,1,0,0,0,0
20,Tinderton was a very quiet town that very few people visited.,1,0,0,0,0,0,0,0
21,He was having a lazy afternoon watching TV.,1,0,0,0,0,0,0,0
22,He fixed the elements.,1,0,0,0,0,0,0,0
23,Today she sent a video of Ella saying the alphabet.,1,1,0,1,0,0,1,0
24,Then she saw a bus moving on to the shoulder.,0,1,0,1,0,1,0,0
25,"But when his teacher saw, he got in trouble.",0,0,0,1,1,0,0,1
26,She got dressed.,0,1,0,0,0,0,0,0
27,Tom and his daughter were very disappointed.,0,0,0,0,0,1,0,0
